"","V1","V2","V3"
"5344",82,2381,7
"5345",82,2389,5
"5346",82,2413,6
"5347",82,2418,5
"5348",82,2452,6
"5350",82,2488,7
"5351",82,2498,4
"5353",82,2512,6
"5354",82,2523,7
"5355",82,2535,9
"5356",82,2585,8
"5357",82,2607,8
"5358",82,2682,6
"5359",82,2701,7
"5360",82,2827,7
"5361",82,2835,9
"5364",82,2857,7
"5366",82,2877,5
"5367",82,2880,7
"5368",82,2897,7
"5369",82,2908,8
"5370",82,2915,8
"5371",82,2919,7
"5375",82,2954,7
"5376",82,2984,5
"5381",82,3029,9
"5387",82,3085,6
"5388",82,3134,6
"5390",82,3261,7
"5393",82,3341,5
"5396",82,3375,7
"5397",82,3380,3
"5398",82,3388,4
"5399",82,3415,7
"5401",82,3435,5
